201 21
-3.785540000000001e-01 3.118430000000001e-01 0.000000000000000e+00
-3.785540000000001e-01 3.217459999999999e-01 0.000000000000000e+00
-3.785540000000001e-01 3.316490000000000e-01 0.000000000000000e+00
-3.785539999999999e-01 3.415520000000001e-01 0.000000000000000e+00
-3.785539999999999e-01 3.514550000000000e-01 0.000000000000000e+00
-3.785539999999999e-01 3.613580000000000e-01 0.000000000000000e+00
-3.785539999999999e-01 3.712610000000001e-01 0.000000000000000e+00
-3.785539999999999e-01 3.811639999999999e-01 0.000000000000000e+00
-3.785539999999999e-01 3.910670000000000e-01 0.000000000000000e+00
-3.785539999999999e-01 4.009700000000000e-01 0.000000000000000e+00
-3.785539999999999e-01 4.108730000000000e-01 0.000000000000000e+00
-3.785539999999999e-01 4.207760000000000e-01 0.000000000000000e+00
-3.785539999999999e-01 4.306790000000000e-01 0.000000000000000e+00
-3.785539999999999e-01 4.405819999999999e-01 0.000000000000000e+00
-3.785539999999999e-01 4.504850000000000e-01 0.000000000000000e+00
-3.785539999999999e-01 4.603880000000000e-01 0.000000000000000e+00
-3.785539999999999e-01 4.702910000000000e-01 0.000000000000000e+00
-3.785539999999999e-01 4.801940000000000e-01 0.000000000000000e+00
-3.785539999999999e-01 4.900969999999999e-01 0.000000000000000e+00
-3.785539999999999e-01 5.000000000000000e-01 0.000000000000000e+00
-3.718070000000000e-01 3.019400000000000e-01 0.000000000000000e+00
-3.718070000000001e-01 3.118430000000001e-01 0.000000000000000e+00
-3.718069999999999e-01 3.217459999999999e-01 0.000000000000000e+00
-3.718069999999999e-01 3.316490000000000e-01 0.000000000000000e+00
-3.718069999999999e-01 3.415520000000001e-01 0.000000000000000e+00
-3.718070000000000e-01 3.514550000000000e-01 0.000000000000000e+00
-3.718070000000002e-01 3.613580000000000e-01 0.000000000000000e+00
-3.718070000000000e-01 3.712610000000001e-01 0.000000000000000e+00
-3.718070000000000e-01 3.811639999999999e-01 0.000000000000000e+00
-3.718070000000000e-01 3.910670000000000e-01 0.000000000000000e+00
-3.718070000000000e-01 4.009700000000000e-01 0.000000000000000e+00
-3.718070000000000e-01 4.108730000000000e-01 0.000000000000000e+00
