201 21
-4.932529999999999e-01 4.306790000000000e-01 0.000000000000000e+00
-4.932530000000001e-01 4.405819999999999e-01 0.000000000000000e+00
-4.932530000000001e-01 4.504850000000000e-01 0.000000000000000e+00
-4.932530000000000e-01 4.603880000000000e-01 0.000000000000000e+00
-4.932529999999999e-01 4.702910000000000e-01 0.000000000000000e+00
-4.932529999999999e-01 4.801940000000000e-01 0.000000000000000e+00
-4.932530000000001e-01 4.900969999999999e-01 0.000000000000000e+00
-4.932530000000000e-01 5.000000000000000e-01 0.000000000000000e+00
-4.865060000000000e-01 3.019400000000000e-01 0.000000000000000e+00
-4.865060000000000e-01 3.118430000000001e-01 0.000000000000000e+00
-4.865060000000000e-01 3.217460000000000e-01 0.000000000000000e+00
-4.865060000000000e-01 3.316490000000000e-01 0.000000000000000e+00
-4.865059999999999e-01 3.415520000000001e-01 0.000000000000000e+00
-4.865060000000000e-01 3.514550000000000e-01 0.000000000000000e+00
-4.865059999999999e-01 3.613580000000000e-01 0.000000000000000e+00
-4.865059999999999e-01 3.712610000000001e-01 0.000000000000000e+00
-4.865060000000000e-01 3.811639999999999e-01 0.000000000000000e+00
-4.865059999999999e-01 3.910670000000000e-01 0.000000000000000e+00
-4.865059999999999e-01 4.009700000000000e-01 0.000000000000000e+00
-4.865059999999999e-01 4.108730000000000e-01 0.000000000000000e+00
-4.865059999999999e-01 4.207760000000000e-01 0.000000000000000e+00
-4.865059999999999e-01 4.306789999999999e-01 0.000000000000000e+00
-4.865059999999999e-01 4.405819999999999e-01 0.000000000000000e+00
-4.865059999999999e-01 4.504850000000000e-01 0.000000000000000e+00
-4.865059999999999e-01 4.603880000000000e-01 0.000000000000000e+00
-4.865059999999999e-01 4.702910000000000e-01 0.000000000000000e+00
-4.865059999999999e-01 4.801940000000000e-01 0.000000000000000e+00
-4.865059999999999e-01 4.900969999999999e-01 0.000000000000000e+00
-4.865059999999998e-01 5.000000000000000e-01 0.000000000000000e+00
-4.797590000000000e-01 3.019400000000000e-01 0.000000000000000e+00
-4.797590000000000e-01 3.118430000000001e-01 0.000000000000000e+00
-4.797589999999999e-01 3.217460000000000e-01 0.000000000000000e+00
-4.797590000000000e-01 3.316490000000000e-01 0.000000000000000e+00
-4.797590000000000e-01 3.415520000000001e-01 0.000000000000000e+00
-4.797590000000000e-01 3.514550000000000e-01 0.000000000000000e+00
-4.797589999999999e-01 3.613580000000000e-01 0.000000000000000e+00
-4.797590000000000e-01 3.712610000000001e-01 0.000000000000000e+00
-4.797590000000000e-01 3.811639999999999e-01 0.000000000000000e+00
-4.797589999999999e-01 3.910670000000000e-01 0.000000000000000e+00
-4.797589999999999e-01 4.009700000000000e-01 0.000000000000000e+00
-4.797589999999999e-01 4.108730000000000e-01 0.000000000000000e+00
-4.797589999999999e-01 4.207760000000000e-01 0.000000000000000e+00
-4.797589999999998e-01 4.306790000000000e-01 0.000000000000000e+00
-4.797589999999999e-01 4.405819999999999e-01 0.000000000000000e+00
-4.797589999999999e-01 4.504850000000000e-01 0.000000000000000e+00
-4.797589999999999e-01 4.603880000000000e-01 0.000000000000000e+00
-4.797589999999998e-01 4.702910000000000e-01 0.000000000000000e+00
-4.797589999999999e-01 4.801940000000000e-01 0.000000000000000e+00
-4.797589999999998e-01 4.900969999999999e-01 0.000000000000000e+00
-4.797589999999998e-01 5.000000000000000e-01 0.000000000000000e+00
-4.730120000000000e-01 3.019400000000000e-01 0.000000000000000e+00
-4.730120000000000e-01 3.118430000000001e-01 0.000000000000000e+00
-4.730120000000000e-01 3.217460000000000e-01 0.000000000000000e+00
-4.730120000000000e-01 3.316490000000000e-01 0.000000000000000e+00
-4.730120000000001e-01 3.415520000000001e-01 0.000000000000000e+00
-4.730120000000000e-01 3.514550000000000e-01 0.000000000000000e+00
-4.730120000000000e-01 3.613580000000000e-01 0.000000000000000e+00
-4.730119999999999e-01 3.712610000000001e-01 0.000000000000000e+00
-4.730120000000000e-01 3.811639999999999e-01 0.000000000000000e+00
-4.730120000000000e-01 3.910670000000000e-01 0.000000000000000e+00
-4.730120000000000e-01 4.009700000000000e-01 0.000000000000000e+00
-4.730120000000000e-01 4.108730000000000e-01 0.000000000000000e+00
-4.730120000000000e-01 4.207760000000000e-01 0.000000000000000e+00
-4.730120000000000e-01 4.306790000000000e-01 0.000000000000000e+00
-4.730120000000000e-01 4.405819999999999e-01 0.000000000000000e+00
-4.730120000000000e-01 4.504850000000000e-01 0.000000000000000e+00
-4.730120000000000e-01 4.603880000000000e-01 0.000000000000000e+00
-4.730120000000000e-01 4.702910000000000e-01 0.000000000000000e+00
-4.730120000000000e-01 4.801940000000000e-01 0.000000000000000e+00
-4.730119999999999e-01 4.900969999999999e-01 0.000000000000000e+00
-4.730120000000000e-01 5.000000000000000e-01 0.000000000000000e+00
-4.662650000000000e-01 3.019400000000000e-01 0.000000000000000e+00
-4.662649999999999e-01 3.118430000000001e-01 0.000000000000000e+00
-4.662650000000000e-01 3.217460000000000e-01 0.000000000000000e+00
-4.662650000000000e-01 3.316490000000000e-01 0.000000000000000e+00
-4.662650000000000e-01 3.415520000000001e-01 0.000000000000000e+00
-4.662649999999999e-01 3.514550000000000e-01 0.000000000000000e+00
-4.662650000000002e-01 3.613580000000000e-01 0.000000000000000e+00
-4.662649999999999e-01 3.712610000000001e-01 0.000000000000000e+00
-4.662650000000000e-01 3.811639999999999e-01 0.000000000000000e+00
-4.662650000000000e-01 3.910670000000000e-01 0.000000000000000e+00
-4.662649999999999e-01 4.009700000000000e-01 0.000000000000000e+00
-4.662649999999999e-01 4.108730000000000e-01 0.000000000000000e+00
-4.662650000000000e-01 4.207760000000000e-01 0.000000000000000e+00
-4.662649999999998e-01 4.306790000000001e-01 0.000000000000000e+00
-4.662650000000000e-01 4.405820000000001e-01 0.000000000000000e+00
-4.662650000000000e-01 4.504850000000000e-01 0.000000000000000e+00
-4.662649999999999e-01 4.603880000000000e-01 0.000000000000000e+00
-4.662650000000000e-01 4.702910000000000e-01 0.000000000000000e+00
-4.662650000000000e-01 4.801940000000000e-01 0.000000000000000e+00
-4.662650000000000e-01 4.900969999999999e-01 0.000000000000000e+00
-4.662650000000000e-01 5.000000000000000e-01 0.000000000000000e+00
-4.595180000000000e-01 3.019400000000000e-01 0.000000000000000e+00
-4.595179999999999e-01 3.118430000000001e-01 0.000000000000000e+00
-4.595180000000000e-01 3.217459999999999e-01 0.000000000000000e+00
-4.595180000000000e-01 3.316490000000000e-01 0.000000000000000e+00
-4.595179999999999e-01 3.415520000000001e-01 0.000000000000000e+00
-4.595180000000000e-01 3.514550000000000e-01 0.000000000000000e+00
-4.595180000000000e-01 3.613580000000000e-01 0.000000000000000e+00
-4.595180000000000e-01 3.712610000000001e-01 0.000000000000000e+00
-4.595180000000000e-01 3.811639999999999e-01 0.000000000000000e+00
-4.595179999999999e-01 3.910670000000000e-01 0.000000000000000e+00
-4.595179999999998e-01 4.009700000000000e-01 0.000000000000000e+00
-4.595180000000000e-01 4.108730000000000e-01 0.000000000000000e+00
-4.595179999999998e-01 4.207760000000000e-01 0.000000000000000e+00
-4.595179999999999e-01 4.306790000000000e-01 0.000000000000000e+00
-4.595179999999999e-01 4.405819999999999e-01 0.000000000000000e+00
-4.595179999999998e-01 4.504850000000000e-01 0.000000000000000e+00
-4.595179999999998e-01 4.603880000000000e-01 0.000000000000000e+00
-4.595179999999998e-01 4.702910000000000e-01 0.000000000000000e+00
-4.595179999999998e-01 4.801940000000000e-01 0.000000000000000e+00
-4.595179999999998e-01 4.900969999999999e-01 0.000000000000000e+00
-4.595179999999998e-01 5.000000000000000e-01 0.000000000000000e+00
-4.527710000000000e-01 3.019400000000000e-01 0.000000000000000e+00
-4.527709999999999e-01 3.118430000000000e-01 0.000000000000000e+00
-4.527710000000000e-01 3.217460000000001e-01 0.000000000000000e+00
-4.527710000000001e-01 3.316490000000000e-01 0.000000000000000e+00
-4.527710000000000e-01 3.415520000000001e-01 0.000000000000000e+00
-4.527709999999998e-01 3.514550000000000e-01 0.000000000000000e+00
-4.527710000000000e-01 3.613580000000000e-01 0.000000000000000e+00
-4.527709999999999e-01 3.712610000000001e-01 0.000000000000000e+00
-4.527710000000000e-01 3.811639999999999e-01 0.000000000000000e+00
-4.527709999999999e-01 3.910670000000000e-01 0.000000000000000e+00
-4.527709999999999e-01 4.009700000000000e-01 0.000000000000000e+00
-4.527709999999999e-01 4.108730000000000e-01 0.000000000000000e+00
-4.527709999999999e-01 4.207760000000000e-01 0.000000000000000e+00
-4.527709999999999e-01 4.306790000000000e-01 0.000000000000000e+00
-4.527709999999999e-01 4.405819999999999e-01 0.000000000000000e+00
-4.527709999999999e-01 4.504850000000000e-01 0.000000000000000e+00
-4.527709999999999e-01 4.603880000000000e-01 0.000000000000000e+00
-4.527709999999998e-01 4.702910000000000e-01 0.000000000000000e+00
-4.527709999999998e-01 4.801940000000000e-01 0.000000000000000e+00
-4.527709999999999e-01 4.900969999999999e-01 0.000000000000000e+00
-4.527709999999998e-01 5.000000000000000e-01 0.000000000000000e+00
-4.460240000000000e-01 3.019400000000000e-01 0.000000000000000e+00
-4.460240000000001e-01 3.118430000000001e-01 0.000000000000000e+00
-4.460239999999999e-01 3.217459999999999e-01 0.000000000000000e+00
-4.460240000000000e-01 3.316490000000000e-01 0.000000000000000e+00
-4.460240000000000e-01 3.415520000000001e-01 0.000000000000000e+00
-4.460240000000000e-01 3.514550000000000e-01 0.000000000000000e+00
-4.460240000000000e-01 3.613580000000000e-01 0.000000000000000e+00
-4.460240000000000e-01 3.712610000000001e-01 0.000000000000000e+00
-4.460239999999999e-01 3.811639999999999e-01 0.000000000000000e+00
-4.460240000000000e-01 3.910670000000000e-01 0.000000000000000e+00
-4.460240000000000e-01 4.009700000000000e-01 0.000000000000000e+00
-4.460240000000000e-01 4.108730000000000e-01 0.000000000000000e+00
-4.460239999999999e-01 4.207760000000000e-01 0.000000000000000e+00
-4.460240000000000e-01 4.306790000000000e-01 0.000000000000000e+00
-4.460239999999999e-01 4.405819999999999e-01 0.000000000000000e+00
-4.460240000000001e-01 4.504850000000000e-01 0.000000000000000e+00
-4.460240000000000e-01 4.603880000000000e-01 0.000000000000000e+00
-4.460239999999999e-01 4.702910000000000e-01 0.000000000000000e+00
-4.460240000000000e-01 4.801940000000000e-01 0.000000000000000e+00
-4.460240000000000e-01 4.900969999999999e-01 0.000000000000000e+00
-4.460240000000000e-01 5.000000000000000e-01 0.000000000000000e+00
-4.392770000000000e-01 3.019400000000000e-01 0.000000000000000e+00
-4.392770000000000e-01 3.118430000000001e-01 0.000000000000000e+00
-4.392770000000000e-01 3.217459999999999e-01 0.000000000000000e+00
-4.392770000000000e-01 3.316490000000000e-01 0.000000000000000e+00
-4.392770000000000e-01 3.415520000000001e-01 0.000000000000000e+00
-4.392769999999999e-01 3.514550000000000e-01 0.000000000000000e+00
-4.392769999999999e-01 3.613580000000000e-01 0.000000000000000e+00
-4.392770000000000e-01 3.712610000000001e-01 0.000000000000000e+00
-4.392769999999999e-01 3.811639999999999e-01 0.000000000000000e+00
-4.392769999999999e-01 3.910670000000000e-01 0.000000000000000e+00
-4.392770000000000e-01 4.009700000000000e-01 0.000000000000000e+00
-4.392770000000000e-01 4.108730000000000e-01 0.000000000000000e+00
-4.392770000000000e-01 4.207760000000000e-01 0.000000000000000e+00
-4.392769999999999e-01 4.306790000000000e-01 0.000000000000000e+00
-4.392770000000000e-01 4.405819999999999e-01 0.000000000000000e+00
-4.392770000000000e-01 4.504850000000000e-01 0.000000000000000e+00
-4.392769999999999e-01 4.603880000000000e-01 0.000000000000000e+00
-4.392769999999999e-01 4.702910000000000e-01 0.000000000000000e+00
-4.392770000000000e-01 4.801940000000000e-01 0.000000000000000e+00
-4.392770000000000e-01 4.900969999999999e-01 0.000000000000000e+00
-4.392769999999999e-01 5.000000000000000e-01 0.000000000000000e+00
-4.325300000000000e-01 3.019399999999999e-01 0.000000000000000e+00
-4.325300000000000e-01 3.118430000000000e-01 0.000000000000000e+00
-4.325300000000000e-01 3.217459999999999e-01 0.000000000000000e+00
-4.325300000000000e-01 3.316490000000000e-01 0.000000000000000e+00
-4.325300000000001e-01 3.415520000000000e-01 0.000000000000000e+00
-4.325300000000000e-01 3.514549999999999e-01 0.000000000000000e+00
-4.325300000000001e-01 3.613580000000000e-01 0.000000000000000e+00
-4.325299999999999e-01 3.712610000000001e-01 0.000000000000000e+00
-4.325299999999999e-01 3.811639999999999e-01 0.000000000000000e+00
-4.325300000000000e-01 3.910670000000000e-01 0.000000000000000e+00
-4.325299999999999e-01 4.009700000000000e-01 0.000000000000000e+00
-4.325300000000000e-01 4.108730000000000e-01 0.000000000000000e+00
-4.325300000000000e-01 4.207760000000000e-01 0.000000000000000e+00
-4.325300000000000e-01 4.306790000000000e-01 0.000000000000000e+00
-4.325299999999999e-01 4.405819999999999e-01 0.000000000000000e+00
-4.325300000000000e-01 4.504850000000000e-01 0.000000000000000e+00
-4.325299999999999e-01 4.603880000000000e-01 0.000000000000000e+00
-4.325299999999999e-01 4.702910000000000e-01 0.000000000000000e+00
-4.325299999999999e-01 4.801940000000000e-01 0.000000000000000e+00
-4.325299999999999e-01 4.900969999999999e-01 0.000000000000000e+00
-4.325299999999999e-01 5.000000000000000e-01 0.000000000000000e+00
-4.257830000000000e-01 3.019399999999999e-01 0.000000000000000e+00
-4.257830000000000e-01 3.118430000000000e-01 0.000000000000000e+00
-4.257830000000000e-01 3.217459999999999e-01 0.000000000000000e+00
-4.257830000000000e-01 3.316490000000000e-01 0.000000000000000e+00
-4.257830000000000e-01 3.415520000000000e-01 0.000000000000000e+00
-4.257830000000000e-01 3.514549999999999e-01 0.000000000000000e+00
-4.257830000000000e-01 3.613580000000000e-01 0.000000000000000e+00
-4.257830000000000e-01 3.712610000000001e-01 0.000000000000000e+00
-4.257830000000000e-01 3.811639999999999e-01 0.000000000000000e+00
-4.257830000000000e-01 3.910670000000000e-01 0.000000000000000e+00
-4.257830000000000e-01 4.009700000000000e-01 0.000000000000000e+00
-4.257829999999999e-01 4.108730000000000e-01 0.000000000000000e+00
-4.257830000000001e-01 4.207760000000000e-01 0.000000000000000e+00
-4.257830000000001e-01 4.306790000000000e-01 0.000000000000000e+00
-4.257830000000000e-01 4.405819999999999e-01 0.000000000000000e+00
-4.257830000000001e-01 4.504850000000000e-01 0.000000000000000e+00
-4.257830000000001e-01 4.603880000000000e-01 0.000000000000000e+00
-4.257830000000000e-01 4.702910000000000e-01 0.000000000000000e+00
-4.257830000000000e-01 4.801940000000000e-01 0.000000000000000e+00
-4.257830000000000e-01 4.900969999999999e-01 0.000000000000000e+00
-4.257830000000001e-01 5.000000000000000e-01 0.000000000000000e+00
-4.190360000000000e-01 3.019399999999999e-01 0.000000000000000e+00
-4.190360000000000e-01 3.118430000000000e-01 0.000000000000000e+00
-4.190360000000000e-01 3.217459999999999e-01 0.000000000000000e+00
-4.190359999999999e-01 3.316490000000000e-01 0.000000000000000e+00
-4.190360000000000e-01 3.415520000000000e-01 0.000000000000000e+00
-4.190360000000000e-01 3.514549999999999e-01 0.000000000000000e+00
-4.190360000000000e-01 3.613580000000000e-01 0.000000000000000e+00
-4.190359999999999e-01 3.712610000000001e-01 0.000000000000000e+00
-4.190359999999999e-01 3.811639999999999e-01 0.000000000000000e+00
-4.190359999999999e-01 3.910670000000000e-01 0.000000000000000e+00
-4.190359999999999e-01 4.009700000000000e-01 0.000000000000000e+00
-4.190360000000000e-01 4.108730000000000e-01 0.000000000000000e+00
-4.190360000000000e-01 4.207760000000000e-01 0.000000000000000e+00
-4.190360000000000e-01 4.306790000000000e-01 0.000000000000000e+00
-4.190360000000001e-01 4.405819999999999e-01 0.000000000000000e+00
-4.190359999999999e-01 4.504850000000000e-01 0.000000000000000e+00
-4.190359999999999e-01 4.603880000000000e-01 0.000000000000000e+00
-4.190359999999999e-01 4.702910000000000e-01 0.000000000000000e+00
-4.190359999999999e-01 4.801940000000000e-01 0.000000000000000e+00
-4.190359999999999e-01 4.900969999999999e-01 0.000000000000000e+00
-4.190359999999999e-01 5.000000000000000e-01 0.000000000000000e+00
-4.122890000000000e-01 3.019400000000000e-01 0.000000000000000e+00
-4.122890000000000e-01 3.118430000000001e-01 0.000000000000000e+00
-4.122890000000001e-01 3.217459999999999e-01 0.000000000000000e+00
-4.122890000000000e-01 3.316490000000000e-01 0.000000000000000e+00
-4.122890000000000e-01 3.415520000000001e-01 0.000000000000000e+00
-4.122889999999999e-01 3.514550000000000e-01 0.000000000000000e+00
-4.122890000000000e-01 3.613580000000000e-01 0.000000000000000e+00
-4.122890000000000e-01 3.712610000000001e-01 0.000000000000000e+00
-4.122890000000000e-01 3.811639999999999e-01 0.000000000000000e+00
-4.122890000000000e-01 3.910670000000000e-01 0.000000000000000e+00
-4.122890000000000e-01 4.009700000000000e-01 0.000000000000000e+00
-4.122890000000000e-01 4.108730000000000e-01 0.000000000000000e+00
-4.122890000000000e-01 4.207760000000000e-01 0.000000000000000e+00
-4.122889999999999e-01 4.306790000000000e-01 0.000000000000000e+00
-4.122890000000000e-01 4.405819999999999e-01 0.000000000000000e+00
-4.122890000000000e-01 4.504850000000000e-01 0.000000000000000e+00
-4.122889999999999e-01 4.603880000000000e-01 0.000000000000000e+00
-4.122890000000000e-01 4.702910000000000e-01 0.000000000000000e+00
-4.122890000000000e-01 4.801940000000000e-01 0.000000000000000e+00
-4.122890000000000e-01 4.900969999999999e-01 0.000000000000000e+00
-4.122889999999999e-01 5.000000000000000e-01 0.000000000000000e+00
-4.055420000000000e-01 3.019400000000000e-01 0.000000000000000e+00
-4.055420000000000e-01 3.118430000000000e-01 0.000000000000000e+00
-4.055420000000000e-01 3.217460000000001e-01 0.000000000000000e+00
-4.055420000000000e-01 3.316489999999999e-01 0.000000000000000e+00
-4.055420000000001e-01 3.415520000000000e-01 0.000000000000000e+00
-4.055420000000000e-01 3.514549999999999e-01 0.000000000000000e+00
-4.055420000000001e-01 3.613580000000000e-01 0.000000000000000e+00
-4.055420000000000e-01 3.712610000000001e-01 0.000000000000000e+00
-4.055420000000000e-01 3.811639999999999e-01 0.000000000000000e+00
-4.055420000000000e-01 3.910670000000000e-01 0.000000000000000e+00
-4.055420000000000e-01 4.009700000000000e-01 0.000000000000000e+00
-4.055420000000000e-01 4.108730000000000e-01 0.000000000000000e+00
-4.055420000000000e-01 4.207760000000000e-01 0.000000000000000e+00
-4.055419999999998e-01 4.306790000000000e-01 0.000000000000000e+00
-4.055420000000000e-01 4.405819999999999e-01 0.000000000000000e+00
-4.055419999999998e-01 4.504850000000000e-01 0.000000000000000e+00
-4.055419999999998e-01 4.603880000000000e-01 0.000000000000000e+00
-4.055420000000000e-01 4.702910000000000e-01 0.000000000000000e+00
-4.055419999999998e-01 4.801940000000000e-01 0.000000000000000e+00
-4.055419999999998e-01 4.900969999999999e-01 0.000000000000000e+00
-4.055419999999999e-01 5.000000000000000e-01 0.000000000000000e+00
-3.987950000000000e-01 3.019400000000000e-01 0.000000000000000e+00
-3.987950000000001e-01 3.118430000000000e-01 0.000000000000000e+00
-3.987950000000001e-01 3.217460000000001e-01 0.000000000000000e+00
-3.987950000000000e-01 3.316489999999999e-01 0.000000000000000e+00
-3.987950000000001e-01 3.415520000000000e-01 0.000000000000000e+00
-3.987950000000000e-01 3.514550000000000e-01 0.000000000000000e+00
-3.987950000000001e-01 3.613580000000000e-01 0.000000000000000e+00
-3.987950000000001e-01 3.712610000000001e-01 0.000000000000000e+00
-3.987950000000000e-01 3.811639999999999e-01 0.000000000000000e+00
-3.987950000000000e-01 3.910670000000000e-01 0.000000000000000e+00
-3.987950000000000e-01 4.009700000000000e-01 0.000000000000000e+00
-3.987950000000000e-01 4.108730000000000e-01 0.000000000000000e+00
-3.987950000000000e-01 4.207760000000000e-01 0.000000000000000e+00
-3.987950000000000e-01 4.306790000000000e-01 0.000000000000000e+00
-3.987950000000000e-01 4.405819999999999e-01 0.000000000000000e+00
-3.987950000000000e-01 4.504850000000000e-01 0.000000000000000e+00
-3.987950000000000e-01 4.603880000000000e-01 0.000000000000000e+00
-3.987950000000000e-01 4.702910000000000e-01 0.000000000000000e+00
-3.987950000000000e-01 4.801940000000000e-01 0.000000000000000e+00
-3.987950000000001e-01 4.900969999999999e-01 0.000000000000000e+00
-3.987950000000001e-01 5.000000000000000e-01 0.000000000000000e+00
-3.920480000000000e-01 3.019400000000000e-01 0.000000000000000e+00
-3.920480000000000e-01 3.118430000000000e-01 0.000000000000000e+00
-3.920480000000000e-01 3.217460000000000e-01 0.000000000000000e+00
-3.920480000000000e-01 3.316489999999999e-01 0.000000000000000e+00
-3.920480000000001e-01 3.415520000000000e-01 0.000000000000000e+00
-3.920479999999999e-01 3.514549999999999e-01 0.000000000000000e+00
-3.920480000000000e-01 3.613580000000000e-01 0.000000000000000e+00
-3.920480000000000e-01 3.712610000000000e-01 0.000000000000000e+00
-3.920480000000000e-01 3.811640000000001e-01 0.000000000000000e+00
-3.920480000000000e-01 3.910669999999999e-01 0.000000000000000e+00
-3.920480000000000e-01 4.009700000000001e-01 0.000000000000000e+00
-3.920480000000000e-01 4.108730000000000e-01 0.000000000000000e+00
-3.920480000000000e-01 4.207760000000000e-01 0.000000000000000e+00
-3.920480000000000e-01 4.306790000000001e-01 0.000000000000000e+00
-3.920480000000000e-01 4.405820000000001e-01 0.000000000000000e+00
-3.920480000000000e-01 4.504850000000000e-01 0.000000000000000e+00
-3.920480000000000e-01 4.603880000000000e-01 0.000000000000000e+00
-3.920480000000000e-01 4.702910000000000e-01 0.000000000000000e+00
-3.920480000000000e-01 4.801940000000000e-01 0.000000000000000e+00
-3.920480000000000e-01 4.900969999999999e-01 0.000000000000000e+00
-3.920479999999999e-01 5.000000000000000e-01 0.000000000000000e+00
-3.853010000000000e-01 3.019400000000000e-01 0.000000000000000e+00
-3.853010000000001e-01 3.118430000000001e-01 0.000000000000000e+00
-3.853009999999999e-01 3.217459999999999e-01 0.000000000000000e+00
-3.853010000000000e-01 3.316490000000000e-01 0.000000000000000e+00
-3.853009999999999e-01 3.415520000000001e-01 0.000000000000000e+00
-3.853009999999999e-01 3.514550000000000e-01 0.000000000000000e+00
-3.853009999999999e-01 3.613580000000000e-01 0.000000000000000e+00
-3.853010000000001e-01 3.712610000000001e-01 0.000000000000000e+00
-3.853009999999999e-01 3.811639999999999e-01 0.000000000000000e+00
-3.853009999999999e-01 3.910670000000000e-01 0.000000000000000e+00
-3.853010000000000e-01 4.009700000000000e-01 0.000000000000000e+00
-3.853009999999999e-01 4.108730000000000e-01 0.000000000000000e+00
-3.853010000000001e-01 4.207760000000000e-01 0.000000000000000e+00
-3.853009999999998e-01 4.306790000000000e-01 0.000000000000000e+00
-3.853009999999999e-01 4.405820000000001e-01 0.000000000000000e+00
-3.853009999999999e-01 4.504850000000000e-01 0.000000000000000e+00
-3.853009999999998e-01 4.603880000000000e-01 0.000000000000000e+00
-3.853009999999998e-01 4.702910000000000e-01 0.000000000000000e+00
-3.853009999999999e-01 4.801940000000000e-01 0.000000000000000e+00
-3.853009999999998e-01 4.900969999999999e-01 0.000000000000000e+00
-3.853009999999999e-01 5.000000000000000e-01 0.000000000000000e+00
-3.785540000000000e-01 3.019400000000000e-01 0.000000000000000e+00
-3.785540000000001e-01 3.118430000000001e-01 0.000000000000000e+00
-3.785540000000001e-01 3.217459999999999e-01 0.000000000000000e+00
-3.785540000000001e-01 3.316490000000000e-01 0.000000000000000e+00
-3.785539999999999e-01 3.415520000000001e-01 0.000000000000000e+00
-3.785539999999999e-01 3.514550000000000e-01 0.000000000000000e+00
-3.785539999999999e-01 3.613580000000000e-01 0.000000000000000e+00
-3.785539999999999e-01 3.712610000000001e-01 0.000000000000000e+00
-3.785539999999999e-01 3.811639999999999e-01 0.000000000000000e+00
-3.785539999999999e-01 3.910670000000000e-01 0.000000000000000e+00
-3.785539999999999e-01 4.009700000000000e-01 0.000000000000000e+00
-3.785539999999999e-01 4.108730000000000e-01 0.000000000000000e+00
-3.785539999999999e-01 4.207760000000000e-01 0.000000000000000e+00
-3.785539999999999e-01 4.306790000000000e-01 0.000000000000000e+00
-3.785539999999999e-01 4.405819999999999e-01 0.000000000000000e+00
-3.785539999999999e-01 4.504850000000000e-01 0.000000000000000e+00
-3.785539999999999e-01 4.603880000000000e-01 0.000000000000000e+00
-3.785539999999999e-01 4.702910000000000e-01 0.000000000000000e+00
-3.785539999999999e-01 4.801940000000000e-01 0.000000000000000e+00
-3.785539999999999e-01 4.900969999999999e-01 0.000000000000000e+00
-3.785539999999999e-01 5.000000000000000e-01 0.000000000000000e+00
-3.718070000000000e-01 3.019400000000000e-01 0.000000000000000e+00
-3.718070000000001e-01 3.118430000000001e-01 0.000000000000000e+00
-3.718069999999999e-01 3.217459999999999e-01 0.000000000000000e+00
-3.718069999999999e-01 3.316490000000000e-01 0.000000000000000e+00
-3.718069999999999e-01 3.415520000000001e-01 0.000000000000000e+00
-3.718070000000000e-01 3.514550000000000e-01 0.000000000000000e+00
-3.718070000000002e-01 3.613580000000000e-01 0.000000000000000e+00
-3.718070000000000e-01 3.712610000000001e-01 0.000000000000000e+00
-3.718070000000000e-01 3.811639999999999e-01 0.000000000000000e+00
-3.718070000000000e-01 3.910670000000000e-01 0.000000000000000e+00
-3.718070000000000e-01 4.009700000000000e-01 0.000000000000000e+00
-3.718070000000000e-01 4.108730000000000e-01 0.000000000000000e+00
